Year,City,Latitude,Longitude,Population
Year_1970,San Francisco,37.773972,-122.431297,714149
Year_1970,Los Angeles,34.052235,-118.243683,2811000
Year_1970,Seattle,47.608013,-122.335167,530831
Year_1970,Vancouver,49.246292,-123.116226,426000
Year_1970,Houston,29.759438,-95.369957,1233000
Year_1970,Chicago,41.881832,-87.623177,3366000
Year_1970,New York,40.73061,-73.935242,7895000
Year_1970,London,51.509865,-0.118092,7509000
Year_1970,Paris,48.864716,2.349014,8208000
Year_1970,Madrid,40.416775,-3.70379,3521000
Year_1970,Sydney,-33.865143,151.2099,2892000
Year_1970,Toronto,43.623409,-79.368683,2535000
Year_1970,Hong Kong,22.302219,114.174637,3959000
Year_1970,Dubai,25.276987,55.296249,80000
Year_1970,Kuala Lumpur,3.1412001,101.6865311,451000
Year_1970,Tokyo,35.652832,139.839478,8840000
Year_1978,San Francisco,37.773972,-122.431297,677661
Year_1978,Los Angeles,34.052235,-118.243683,2968000
Year_1978,Seattle,47.608013,-122.335167,493846
Year_1978,Vancouver,49.246292,-123.116226,426000
Year_1978,Houston,29.759438,-95.369957,1595000
Year_1978,Chicago,41.881832,-87.623177,3005000
Year_1978,New York,40.73061,-73.935242,7071000
Year_1978,London,51.509865,-0.118092,7660000
Year_1978,Paris,48.864716,2.349014,8669000
Year_1978,Madrid,40.416775,-3.70379,4253000
Year_1978,Sydney,-33.865143,151.2099,3252000
Year_1978,Toronto,43.623409,-79.368683,3008000
Year_1978,Hong Kong,22.302219,114.174637,4668000
Year_1978,Dubai,25.276987,55.296249,254000
Year_1978,Kuala Lumpur,3.1412001,101.6865311,971000
Year_1978,Tokyo,35.652832,139.839478,8351000
Year_1989,San Francisco,37.773972,-122.431297,725889
Year_1989,Los Angeles,34.052235,-118.243683,3485000
Year_1989,Seattle,47.608013,-122.335167,515761
Year_1989,Vancouver,49.246292,-123.116226,478247
Year_1989,Houston,29.759438,-95.369957,1631000
Year_1989,Chicago,41.881832,-87.623177,2786000
Year_1989,New York,40.73061,-73.935242,7322200
Year_1989,London,51.509865,-0.118092,8054000
Year_1989,Paris,48.864716,2.349014,9330000
Year_1989,Madrid,40.416775,-3.70379,4414000
Year_1989,Sydney,-33.865143,151.2099,3632000
Year_1989,Toronto,43.623409,-79.368683,3807000
Year_1989,Hong Kong,22.302219,114.174637,5686000
Year_1989,Dubai,25.276987,55.296249,473000
Year_1989,Kuala Lumpur,3.1412001,101.6865311,2098000
Year_1989,Tokyo,35.652832,139.839478,8163000
Year_1995,San Francisco,37.773972,-122.431297,746386
Year_1995,Los Angeles,34.052235,-118.243683,3534400
Year_1995,Seattle,47.608013,-122.335167,530379
Year_1995,Vancouver,49.246292,-123.116226,514008
Year_1995,Houston,29.759438,-95.369957,1779000
Year_1995,Chicago,41.881832,-87.623177,2802000
Year_1995,New York,40.73061,-73.935242,7350000
Year_1995,London,51.509865,-0.118092,8323000
Year_1995,Paris,48.864716,2.349014,9510000
Year_1995,Madrid,40.416775,-3.70379,4688000
Year_1995,Sydney,-33.865143,151.2099,3819000
Year_1995,Toronto,43.623409,-79.368683,4197000
Year_1995,Hong Kong,22.302219,114.174637,6156000
Year_1995,Dubai,25.276987,55.296249,650000
Year_1995,Kuala Lumpur,3.1412001,101.6865311,2975000
Year_1995,Tokyo,35.652832,139.839478,8300000
Year_2005,San Francisco,37.773972,-122.431297,777660
Year_2005,Los Angeles,34.052235,-118.243683,3810000
Year_2005,Seattle,47.608013,-122.335167,575427
Year_2005,Vancouver,49.246292,-123.116226,578041
Year_2005,Houston,29.759438,-95.369957,2022000
Year_2005,Chicago,41.881832,-87.623177,2829000
Year_2005,New York,40.73061,-73.935242,7940000
Year_2005,London,51.509865,-0.118092,9119000
Year_2005,Paris,48.864716,2.349014,10092000
Year_2005,Madrid,40.416775,-3.70379,5383000
Year_2005,Sydney,-33.865143,151.2099,4225000
Year_2005,Toronto,43.623409,-79.368683,5035000
Year_2005,Hong Kong,22.302219,114.174637,6813000
Year_2005,Dubai,25.276987,55.296249,1268000
Year_2005,Kuala Lumpur,3.1412001,101.6865311,4927000
Year_2005,Tokyo,35.652832,139.839478,8500000
Year_2010,San Francisco,37.773972,-122.431297,805766
Year_2010,Los Angeles,34.052235,-118.243683,3796100
Year_2010,Seattle,47.608013,-122.335167,610333
Year_2010,Vancouver,49.246292,-123.116226,603502
Year_2010,Houston,29.759438,-95.369957,2106000
Year_2010,Chicago,41.881832,-87.623177,2698000
Year_2010,New York,40.73061,-73.935242,8194000
Year_2010,London,51.509865,-0.118092,9699000
Year_2010,Paris,48.864716,2.349014,10460000
Year_2010,Madrid,40.416775,-3.70379,5787000
Year_2010,Sydney,-33.865143,151.2099,4364000
Year_2010,Toronto,43.623409,-79.368683,5500000
Year_2010,Hong Kong,22.302219,114.174637,7068000
Year_2010,Dubai,25.276987,55.296249,1778000
Year_2010,Kuala Lumpur,3.1412001,101.6865311,5810000
Year_2010,Tokyo,35.652832,139.839478,9000000
Year_2016,San Francisco,37.773972,-122.431297,870887
Year_2016,Los Angeles,34.052235,-118.243683,3976000
Year_2016,Seattle,47.608013,-122.335167,707255
Year_2016,Vancouver,49.246292,-123.116226,631486
Year_2016,Houston,29.759438,-95.369957,2303000
Year_2016,Chicago,41.881832,-87.623177,2705000
Year_2016,New York,40.73061,-73.935242,8615000
Year_2016,London,51.509865,-0.118092,10313000
Year_2016,Paris,48.864716,2.349014,10843000
Year_2016,Madrid,40.416775,-3.70379,6200000
Year_2016,Sydney,-33.865143,151.2099,4505000
Year_2016,Toronto,43.623409,-79.368683,5993000
Year_2016,Hong Kong,22.302219,114.174637,7347000
Year_2016,Dubai,25.276987,55.296249,2415000
Year_2016,Kuala Lumpur,3.1412001,101.6865311,6837000
Year_2016,Tokyo,35.652832,139.839478,9273000
